 , , , , , ,Totals:," $171,331.39 ",685.32556
MSFT,9/4/2018 6:45,226,110.26,buy,currentHigh*0.97: 107.71849999999999, , nan ,nan
MSFT,9/5/2018 6:45,226,110.95,sell,currentHigh*0.97: 108.4751, , $155.94 ,0.63%
MSFT,9/10/2018 6:30,231,108.85,buy,currentHigh*0.97: 105.4293, , nan ,nan
MSFT,9/17/2018 7:45,231,112.96,sell,currentHigh*0.97: 110.2308, , $949.41 ,3.78%
MSFT,9/18/2018 9:00,229,113.54,buy,currentHigh*0.97: 109.9883, , nan ,nan
MSFT,9/19/2018 6:30,229,113.05,sell,currentHigh*0.97: 110.2405, , $(112.21),-0.43%
MSFT,9/20/2018 7:00,229,113.15,buy,currentHigh*0.97: 110.0368, , nan ,nan
MSFT,9/24/2018 6:30,229,113.03,sell,currentHigh*0.97: 111.3657, , $(27.48),-0.11%
MSFT,9/24/2018 7:15,227,113.99,buy,currentHigh*0.97: 110.4151, , nan ,nan
MSFT,9/28/2018 7:00,227,114,sell,currentHigh*0.97: 111.5306, , $2.27 ,0.01%
MSFT,10/1/2018 8:00,224,115.48,buy,currentHigh*0.97: 112.0156, , nan ,nan
MSFT,10/4/2018 6:30,224,114.68,sell,currentHigh*0.97: 112.66550000000001, , $(179.20),-0.69%
MSFT,10/5/2018 11:30,229,112.47,buy,currentHigh*0.97: 109.0668, , nan ,nan
MSFT,10/8/2018 8:00,229,111.5,sell,currentHigh*0.97: 109.2123, , $(222.13),-0.86%
MSFT,10/8/2018 11:45,230,111.1,buy,currentHigh*0.97: 107.58269999999999, , nan ,nan
MSFT,10/9/2018 10:30,230,112.11,sell,currentHigh*0.97: 109.5809, , $232.30 ,0.91%
MSFT,10/11/2018 7:00,238,108.12,buy,currentHigh*0.97: 103.8676, , nan ,nan
MSFT,10/11/2018 9:45,238,107.85,sell,currentHigh*0.97: 105.44869999999999, , $(64.26),-0.25%
MSFT,10/11/2018 12:00,243,105.8,buy,currentHigh*0.97: 103.5281, , nan ,nan
MSFT,10/11/2018 12:45,243,106.6,sell,currentHigh*0.97: 103.7803, , $194.40 ,0.76%
MSFT,10/12/2018 6:30,237,109.02,buy,currentHigh*0.97: 104.5466, , nan ,nan
MSFT,10/12/2018 9:30,237,107.94,sell,currentHigh*0.97: 105.633, , $(255.96),-0.99%
MSFT,10/12/2018 12:15,235,108.87,buy,currentHigh*0.97: 105.9143, , nan ,nan
MSFT,10/15/2018 6:30,235,108.93,sell,currentHigh*0.97: 106.2538, , $14.10 ,0.06%
MSFT,10/15/2018 8:15,235,108.96,buy,currentHigh*0.97: 106.11800000000001, , nan ,nan
MSFT,10/15/2018 9:00,235,108.31,sell,currentHigh*0.97: 106.11800000000001, , $(152.75),-0.60%
MSFT,10/16/2018 6:30,233,109.54,buy,currentHigh*0.97: 106.3993, , nan ,nan
MSFT,10/17/2018 7:30,233,110.14,sell,currentHigh*0.97: 107.7282, , $139.80 ,0.55%
MSFT,10/19/2018 6:30,234,109.51,buy,currentHigh*0.97: 106.9619, , nan ,nan
MSFT,10/19/2018 9:15,234,109.62,sell,currentHigh*0.97: 107.2723, , $25.74 ,0.10%
MSFT,10/22/2018 7:45,233,109.89,buy,currentHigh*0.97: 106.9619, , nan ,nan
MSFT,10/22/2018 9:00,233,109.67,sell,currentHigh*0.97: 106.9619, , $(51.26),-0.20%
MSFT,10/23/2018 9:30,240,106.79,buy,currentHigh*0.97: 104.1974, , nan ,nan
MSFT,10/24/2018 6:30,240,108.4,sell,currentHigh*0.97: 105.44869999999999, , $386.40 ,1.51%
MSFT,10/25/2018 6:30,244,106.62,buy,currentHigh*0.97: 104.2653, , nan ,nan
MSFT,10/25/2018 9:00,244,107.73,sell,currentHigh*0.97: 105.3711, , $270.84 ,1.04%
MSFT,10/25/2018 11:45,241,108.78,buy,currentHigh*0.97: 105.4972, , nan ,nan
MSFT,10/26/2018 6:30,241,105.55,sell,currentHigh*0.97: 105.7106, , $(778.43),-2.97%
MSFT,10/26/2018 6:45,238,107.17,buy,currentHigh*0.97: 103.56689999999999, , nan ,nan
MSFT,10/26/2018 7:15,238,105.8,sell,currentHigh*0.97: 103.56689999999999, , $(326.06),-1.28%
MSFT,10/26/2018 9:00,235,106.84,buy,currentHigh*0.97: 103.8773, , nan ,nan
MSFT,10/26/2018 11:00,235,107.5,sell,currentHigh*0.97: 105.2256, , $155.10 ,0.62%
MSFT,10/29/2018 6:30,234,108.01,buy,currentHigh*0.97: 104.7891, , nan ,nan
MSFT,10/29/2018 8:00,234,107.04,sell,currentHigh*0.97: 104.7891, , $(226.98),-0.90%
MSFT,10/30/2018 6:30,242,103.66,buy,currentHigh*0.97: 100.1816, , nan ,nan
MSFT,10/30/2018 7:30,242,103.32,sell,currentHigh*0.97: 100.8994, , $(82.28),-0.33%
MSFT,10/30/2018 11:00,246,101.63,buy,currentHigh*0.97: 98.62960000000001, , nan ,nan
MSFT,10/31/2018 12:45,246,107.17,sell,currentHigh*0.97: 104.6533, ," $1,362.84 ",5.45%
MSFT,11/2/2018 6:45,246,107.27,buy,currentHigh*0.97: 103.37289999999999, , nan ,nan
MSFT,11/2/2018 9:45,246,105.69,sell,currentHigh*0.97: 103.37289999999999, , $(388.68),-1.47%
MSFT,11/5/2018 8:00,243,106.97,buy,currentHigh*0.97: 103.4796, , nan ,nan
MSFT,11/6/2018 7:45,243,107.66,sell,currentHigh*0.97: 105.3517, , $167.67 ,0.65%
MSFT,11/7/2018 6:30,239,109.44,buy,currentHigh*0.97: 107.3499, , nan ,nan
MSFT,11/8/2018 10:15,239,111.23,sell,currentHigh*0.97: 108.8146, , $427.81 ,1.64%
MSFT,11/13/2018 6:45,246,107.95,buy,currentHigh*0.97: 104.53689999999999, , nan ,nan
MSFT,11/13/2018 11:30,246,107.37,sell,currentHigh*0.97: 105.1383, , $(142.68),-0.54%
MSFT,11/14/2018 12:00,248,106.42,buy,currentHigh*0.97: 103.30499999999999, , nan ,nan
MSFT,11/14/2018 12:45,248,105.57,sell,currentHigh*0.97: 103.30499999999999, , $(210.80),-0.80%
MSFT,11/15/2018 8:30,248,105.52,buy,currentHigh*0.97: 102.17009999999999, , nan ,nan
MSFT,11/19/2018 6:45,248,107.72,sell,currentHigh*0.97: 105.4196, , $545.60 ,2.08%
MSFT,11/20/2018 7:30,265,100.92,buy,currentHigh*0.97: 99.2213, , nan ,nan
MSFT,11/20/2018 10:45,265,101.64,sell,currentHigh*0.97: 99.5317, , $190.80 ,0.71%
MSFT,11/21/2018 6:30,260,103.6,buy,currentHigh*0.97: 99.9488, , nan ,nan
MSFT,11/21/2018 12:30,260,103.63,sell,currentHigh*0.97: 101.25829999999999, , $7.80 ,0.03%
MSFT,11/23/2018 7:00,260,103.56,buy,currentHigh*0.97: 100.3659, , nan ,nan
MSFT,11/29/2018 7:15,260,110.54,sell,currentHigh*0.97: 107.77669999999999, ," $1,814.80 ",6.74%
MSFT,11/29/2018 11:30,259,110.86,buy,currentHigh*0.97: 107.476, , nan ,nan
MSFT,11/30/2018 9:30,259,109.96,sell,currentHigh*0.97: 107.6991, , $(233.10),-0.81%
MSFT,12/3/2018 6:30,252,113.09,buy,currentHigh*0.97: 109.3481, , nan ,nan
MSFT,12/3/2018 7:45,252,111.71,sell,currentHigh*0.97: 109.3481, , $(347.76),-1.22%
MSFT,12/4/2018 7:30,250,112.62,buy,currentHigh*0.97: 108.737, , nan ,nan
MSFT,12/4/2018 9:00,250,111.67,sell,currentHigh*0.97: 108.834, , $(237.50),-0.84%
MSFT,12/6/2018 6:45,260,107.32,buy,currentHigh*0.97: 103.1983, , nan ,nan
MSFT,12/6/2018 8:15,260,105.86,sell,currentHigh*0.97: 103.62509999999999, , $(379.60),-1.36%
MSFT,12/6/2018 9:00,258,107,buy,currentHigh*0.97: 103.7803, , nan ,nan
MSFT,12/7/2018 7:30,258,108.26,sell,currentHigh*0.97: 105.924, , $325.08 ,1.18%
MSFT,12/10/2018 6:45,262,106.41,buy,currentHigh*0.97: 101.93730000000001, , nan ,nan
MSFT,12/10/2018 7:30,262,105.64,sell,currentHigh*0.97: 102.9752, , $(201.74),-0.72%
MSFT,12/10/2018 10:00,262,105.86,buy,currentHigh*0.97: 102.8588, , nan ,nan
MSFT,12/11/2018 8:00,262,109.83,sell,currentHigh*0.97: 107.4081, ," $1,040.14 ",3.75%
MSFT,12/11/2018 12:15,263,109.37,buy,currentHigh*0.97: 105.8367, , nan ,nan
MSFT,12/12/2018 11:00,263,110.28,sell,currentHigh*0.97: 107.77669999999999, , $239.33 ,0.83%
MSFT,12/13/2018 7:15,262,110.69,buy,currentHigh*0.97: 106.7291, , nan ,nan
MSFT,12/13/2018 9:15,262,109.01,sell,currentHigh*0.97: 106.7291, , $(440.16),-1.52%
MSFT,12/17/2018 9:15,270,105.66,buy,currentHigh*0.97: 102.17009999999999, , nan ,nan
MSFT,12/17/2018 10:00,270,104.32,sell,currentHigh*0.97: 102.17009999999999, , $(361.80),-1.27%
MSFT,12/18/2018 6:30,271,103.77,buy,currentHigh*0.97: 100.4047, , nan ,nan
MSFT,12/18/2018 12:00,271,103.15,sell,currentHigh*0.97: 100.9867, , $(168.02),-0.60%
MSFT,12/19/2018 6:45,268,104.34,buy,currentHigh*0.97: 101.753, , nan ,nan
MSFT,12/19/2018 11:00,268,106.69,sell,currentHigh*0.97: 103.4893, , $629.80 ,2.25%
MSFT,12/19/2018 12:15,278,103.08,buy,currentHigh*0.97: 99.7451, , nan ,nan
MSFT,12/20/2018 7:45,278,103.38,sell,currentHigh*0.97: 100.57929999999999, , $83.40 ,0.29%
MSFT,12/20/2018 9:00,286,100.35,buy,currentHigh*0.97: 97.03880000000001, , nan ,nan
MSFT,12/20/2018 11:00,286,100.53,sell,currentHigh*0.97: 98.2222, , $51.48 ,0.18%
MSFT,12/20/2018 11:30,285,101.11,buy,currentHigh*0.97: 99.1437, , nan ,nan
MSFT,12/21/2018 6:30,285,102.38,sell,currentHigh*0.97: 99.1437, , $361.95 ,1.26%
MSFT,12/21/2018 7:15,286,101.82,buy,currentHigh*0.97: 99.03699999999999, , nan ,nan
MSFT,12/21/2018 8:00,286,101.58,sell,currentHigh*0.97: 99.03699999999999, , $(68.64),-0.24%
MSFT,12/21/2018 9:45,291,99.72,buy,currentHigh*0.97: 96.4665, , nan ,nan
MSFT,12/21/2018 11:30,291,99.31,sell,currentHigh*0.97: 97.0291, , $(119.31),-0.41%
MSFT,12/24/2018 7:15,301,96.15,buy,currentHigh*0.97: 93.6535, , nan ,nan
MSFT,12/24/2018 8:00,301,96.77,sell,currentHigh*0.97: 94.3907, , $186.62 ,0.64%
MSFT,12/26/2018 6:45,302,96.4,buy,currentHigh*0.97: 92.7902, , nan ,nan
MSFT,12/27/2018 6:30,302,99.25,sell,currentHigh*0.97: 97.66929999999999, , $860.70 ,2.96%
MSFT,12/27/2018 12:00,305,98.26,buy,currentHigh*0.97: 95.7778, , nan ,nan
MSFT,12/28/2018 7:15,305,100.64,sell,currentHigh*0.97: 98.358, , $725.90 ,2.42%
MSFT,12/28/2018 11:15,303,101.48,buy,currentHigh*0.97: 98.2707, , nan ,nan
MSFT,12/28/2018 12:15,303,101.71,sell,currentHigh*0.97: 99.0564, , $69.69 ,0.23%
MSFT,12/31/2018 8:15,303,101.56,buy,currentHigh*0.97: 98.2028, , nan ,nan
MSFT,12/31/2018 11:15,303,101.43,sell,currentHigh*0.97: 99.328, , $(39.39),-0.13%
MSFT,1/2/2019 7:45,306,100.65,buy,currentHigh*0.97: 97.69839999999999, , nan ,nan
MSFT,1/2/2019 12:15,306,100.89,sell,currentHigh*0.97: 98.66839999999999, , $73.44 ,0.24%
MSFT,1/3/2019 8:45,310,99.43,buy,currentHigh*0.97: 96.10759999999999, , nan ,nan
MSFT,1/3/2019 10:45,310,98.43,sell,currentHigh*0.97: 96.224, , $(310.00),-1.01%
MSFT,1/4/2019 6:30,306,99.69,buy,currentHigh*0.97: 96.8739, , nan ,nan
MSFT,1/7/2019 11:45,306,102.29,sell,currentHigh*0.97: 100.08460000000001, , $795.60 ,2.61%
