 , , , , , ,Totals:,5231.489999999985,52.31489999999985
SPY,2016-09-12,47,212.39,buy,currentHigh*0.97: 209.8498, ,nan,nan
SPY,2016-09-14,47,213.29,sell,currentHigh*0.97: 209.8498, ,42.3,0.004237487640661075
SPY,2016-09-19,46,214.13,buy,currentHigh*0.97: 207.0077, ,nan,nan
SPY,2016-09-27,46,214.05,sell,currentHigh*0.97: 210.48999999999998, ,-3.68,-0.00037360481950209724
SPY,2016-09-30,46,215.65,buy,currentHigh*0.97: 209.811, ,nan,nan
SPY,2016-10-12,46,213.59,sell,currentHigh*0.97: 209.811, ,-94.76,-0.009552515650359389
SPY,2016-10-18,46,214.26,buy,currentHigh*0.97: 207.2987, ,nan,nan
SPY,2016-11-02,46,210.67,sell,currentHigh*0.97: 208.5112, ,-165.14,-0.016755343974610305
SPY,2016-11-07,46,211.45,buy,currentHigh*0.97: 206.7555, ,nan,nan
SPY,2016-12-29,46,224.48,sell,currentHigh*0.97: 220.58769999999998, ,599.38,0.061622132891936646
SPY,2017-01-04,45,225.62,buy,currentHigh*0.97: 219.7826, ,nan,nan
SPY,2017-01-31,45,226.98,sell,currentHigh*0.97: 222.5374, ,61.2,0.006027834411842857
SPY,2017-02-03,45,228.81,buy,currentHigh*0.97: 222.4598, ,nan,nan
SPY,2017-03-09,45,236.68,sell,currentHigh*0.97: 232.3732, ,354.15,0.034395349853590336
SPY,2017-03-14,45,237.2,buy,currentHigh*0.97: 229.793, ,nan,nan
SPY,2017-03-22,45,233.77,sell,currentHigh*0.97: 231.9367, ,-154.35,-0.014460370994940887
SPY,2017-03-28,45,233.27,buy,currentHigh*0.97: 228.26039999999998, ,nan,nan
SPY,2017-04-13,45,233.63,sell,currentHigh*0.97: 229.17219999999998, ,16.2,0.001543276032065783
SPY,2017-04-19,45,234.52,buy,currentHigh*0.97: 226.4368, ,nan,nan
SPY,2017-05-17,45,238.1,sell,currentHigh*0.97: 233.4014, ,161.1,0.015265222582295686
SPY,2017-05-22,45,238.9,buy,currentHigh*0.97: 232.33440000000002, ,nan,nan
SPY,2017-06-30,45,242.26,sell,currentHigh*0.97: 237.51420000000002, ,151.2,0.014064462118040959
SPY,2017-07-12,45,243.3,buy,currentHigh*0.97: 236.6897, ,nan,nan
SPY,2017-08-11,45,244.02,sell,currentHigh*0.97: 240.5212, ,32.4,0.00295930949445129
SPY,2017-08-16,44,247.11,buy,currentHigh*0.97: 239.5318, ,nan,nan
SPY,2017-08-18,44,242.9,sell,currentHigh*0.97: 239.6967, ,-185.24,-0.01703694710857516
SPY,2017-08-23,44,244.35,buy,currentHigh*0.97: 237.2232, ,nan,nan
SPY,2017-12-06,44,262.87,sell,currentHigh*0.97: 258.3207, ,814.88,0.07579291999181506
SPY,2017-12-11,43,265.57,buy,currentHigh*0.97: 258.3207, ,nan,nan
SPY,2018-01-30,43,282.61,sell,currentHigh*0.97: 277.39090000000004, ,732.72,0.06416387393154355
SPY,2018-02-07,46,268.5,buy,currentHigh*0.97: 259.6399, ,nan,nan
SPY,2018-02-09,46,260.78,sell,currentHigh*0.97: 260.445, ,-355.12,-0.028752327746741257
SPY,2018-02-14,45,264.51,buy,currentHigh*0.97: 261.5023, ,nan,nan
SPY,2018-03-01,45,270.66,sell,currentHigh*0.97: 269.7667, ,276.75,0.02325053873199514
SPY,2018-03-06,44,273.24,buy,currentHigh*0.97: 264.6936, ,nan,nan
SPY,2018-03-07,44,270.44,sell,currentHigh*0.97: 265.0428, ,-123.2,-0.010247401551749418
SPY,2018-03-12,43,279.2,buy,currentHigh*0.97: 270.1644, ,nan,nan
SPY,2018-03-15,43,275.88,sell,currentHigh*0.97: 271.4739, ,-142.76,-0.011891117478510004
SPY,2018-03-27,45,266.17,buy,currentHigh*0.97: 252.782, ,nan,nan
SPY,2018-03-28,45,260.75,sell,currentHigh*0.97: 258.1849, ,-243.9,-0.020362925949581154
SPY,2018-04-05,44,265.54,buy,currentHigh*0.97: 257.6708, ,nan,nan
SPY,2018-04-09,44,261.38,sell,currentHigh*0.97: 257.6708, ,-183.04,-0.015666189651276738
SPY,2018-04-12,43,265.26,buy,currentHigh*0.97: 257.9521, ,nan,nan
SPY,2018-04-23,43,267.26,sell,currentHigh*0.97: 262.5693, ,86.0,0.007539772298876574
SPY,2018-04-27,43,267.02,buy,currentHigh*0.97: 258.5632, ,nan,nan
SPY,2018-05-01,43,263.9,sell,currentHigh*0.97: 259.2228, ,-134.16,-0.011684518013631956
SPY,2018-05-07,43,266.9,buy,currentHigh*0.97: 258.9124, ,nan,nan
SPY,2018-05-23,43,271.18,sell,currentHigh*0.97: 265.7412, ,184.04,0.016035968527538517
SPY,2018-05-31,43,272.16,buy,currentHigh*0.97: 262.8118, ,nan,nan
SPY,2018-06-18,43,275.49,sell,currentHigh*0.97: 270.7949, ,143.19,0.012235449735449676
SPY,2018-06-29,43,272.12,buy,currentHigh*0.97: 263.1416, ,nan,nan
SPY,2018-07-31,43,280.81,sell,currentHigh*0.97: 275.1987, ,373.67,0.03193444068793179
SPY,2018-08-03,43,282.53,buy,currentHigh*0.97: 275.09200000000004, ,nan,nan
SPY,2018-08-15,43,282.38,sell,currentHigh*0.97: 276.9641, ,-6.45,-0.0005309170707534679
SPY,2018-08-20,42,285.57,buy,currentHigh*0.97: 277.0999, ,nan,nan
SPY,2018-09-07,42,286.99,sell,currentHigh*0.97: 282.2118, ,59.64,0.0049725111181147036
SPY,2018-09-12,42,289.06,buy,currentHigh*0.97: 280.4464, ,nan,nan
SPY,2018-09-28,42,289.99,sell,currentHigh*0.97: 284.29729999999995, ,39.06,0.0032173251228118965
SPY,2018-10-03,42,292.72,buy,currentHigh*0.97: 282.96840000000003, ,nan,nan
SPY,2018-10-05,42,289.69,sell,currentHigh*0.97: 283.9384, ,-127.26,-0.010351188849412508
SPY,2018-10-17,43,280.44,buy,currentHigh*0.97: 272.0365, ,nan,nan
